id,make,model,year,number,date
1,Ford,Crown Victoria,1999,90,12/6/2019
2,Mitsubishi,Galant,2005,3,2/12/2019
3,Nissan,Pathfinder Armada,2004,83,2/20/2021
4,Audi,A4,1996,23,5/31/2020
5,GMC,Yukon Denali,2006,36,8/6/2020
6,Lexus,RX Hybrid,2008,60,4/12/2020
7,Subaru,Outback,2006,83,5/7/2020
8,Buick,Enclave,2008,42,8/7/2019
9,Cadillac,DeVille,1997,86,8/16/2019
10,Chevrolet,Camaro,1974,75,2/4/2021
11,Nissan,Altima,2007,75,4/18/2020
12,Subaru,Outback Sport,2002,79,4/29/2020
13,Chevrolet,Express 3500,2011,31,8/23/2019
14,Infiniti,QX,2007,92,2/28/2019
15,Subaru,Brat,1985,59,5/15/2020
16,Lincoln,MKS,2012,7,7/17/2019
17,Honda,CR-V,2003,79,4/6/2020
18,Ford,Mustang,2012,15,9/27/2019
19,Toyota,4Runner,2012,86,9/8/2020
20,Buick,LeSabre,1987,61,9/18/2020
21,Volvo,S80,2009,32,4/26/2019
22,Ford,Laser,1989,8,8/9/2019
23,Chevrolet,3500,1994,1,7/20/2019
24,Volvo,V40,2004,65,2/19/2019
25,Ford,Escape,2013,51,9/29/2019
26,Saab,9-4X,2011,57,1/6/2020
27,Ford,F350,1999,99,12/18/2019
28,Chevrolet,G-Series G10,1994,98,8/13/2019
29,Chevrolet,Suburban,2010,34,9/7/2020
30,Pontiac,Firebird,1995,95,5/25/2019
31,Mercedes-Benz,G-Class,2002,18,2/3/2021
32,Cadillac,DeVille,1993,1,2/4/2019
33,MINI,Clubman,2009,70,1/28/2020
34,Chevrolet,Camaro,1998,34,5/19/2019
35,Honda,CR-V,2002,71,11/2/2020
36,Pontiac,Grand Prix,1971,99,4/29/2019
37,Chevrolet,Suburban 1500,2003,1,7/29/2019
38,GMC,Savana 3500,2005,96,11/25/2020
39,Acura,SLX,1997,77,4/19/2019
40,Nissan,Xterra,2012,38,3/2/2020
41,Dodge,Nitro,2008,82,8/6/2019
42,Kia,Rondo,2010,68,12/22/2019
43,Ford,Explorer Sport Trac,2006,5,6/2/2020
44,Subaru,Alcyone SVX,1997,26,2/26/2020
45,Mercury,Cougar,2001,81,1/29/2020
46,Chevrolet,Express 2500,2008,83,3/15/2020
47,Mitsubishi,Montero,2001,14,3/22/2019
48,Porsche,Boxster,2004,86,10/4/2020
49,GMC,Envoy,1999,23,6/18/2019
50,Hyundai,Sonata,2001,25,8/10/2020
51,Audi,S4,1992,89,8/21/2020
52,Lotus,Elan,1994,69,10/12/2020
53,Mitsubishi,Diamante,2005,41,4/2/2019
54,Jeep,Commander,2010,19,5/20/2019
55,Saab,9000,1986,1,4/16/2020
56,Chevrolet,Suburban 2500,2009,46,6/8/2019
57,Volkswagen,Tiguan,2009,97,4/17/2020
58,Ford,F-Series Super Duty,2011,12,9/9/2020
59,Ford,F-Series,2003,44,6/28/2020
60,BMW,Z4,2009,18,3/11/2019
61,Toyota,Tacoma,2010,42,3/18/2020
62,Mitsubishi,Tredia,1988,55,4/8/2020
63,Lotus,Esprit,1997,67,4/22/2019
64,Mercury,Sable,1990,80,8/16/2020
65,Ford,Focus,2003,51,5/17/2019
66,Suzuki,Equator,2011,49,1/27/2021
67,Mazda,Miata MX-5,1999,22,2/2/2021
68,Mitsubishi,Endeavor,2004,47,8/1/2019
69,Oldsmobile,Ciera,1992,6,6/9/2020
70,Porsche,911,1995,36,3/28/2019
71,Lincoln,MKX,2010,22,3/13/2020
72,Eagle,Talon,1995,4,8/13/2019
73,Chrysler,Town & Country,2007,26,11/15/2019
74,Pontiac,Trans Sport,1990,6,5/2/2020
75,Pontiac,Gemini,1986,53,11/15/2020
76,Ford,Mustang,2012,38,8/5/2019
77,Mercedes-Benz,400E,1992,87,5/19/2019
78,Dodge,Ram 3500,2007,98,2/25/2019
79,Suzuki,Sidekick,1998,21,6/28/2019
80,Volkswagen,Fox,1990,72,12/1/2020
81,Suzuki,SX4,2007,15,7/9/2020
82,Toyota,MR2,1995,4,9/28/2019
83,Infiniti,M,2010,60,7/9/2020
84,Nissan,Xterra,2002,11,12/5/2020
85,Eagle,Vision,1996,70,3/18/2019
86,Ford,Mustang,1997,10,4/17/2020
87,Pontiac,LeMans,1988,56,12/9/2020
88,Pontiac,Grand Prix,2006,61,12/29/2020
89,Ford,Transit Connect,2012,94,9/1/2019
90,Porsche,928,1990,61,6/4/2019
91,Volvo,960,1995,29,11/29/2019
92,Volkswagen,Passat,2010,81,2/13/2021
93,Chevrolet,Aveo,2011,49,2/4/2021
94,Chevrolet,Silverado 3500,2009,94,10/3/2019
95,Cadillac,XLR,2009,36,8/15/2019
96,Buick,Lucerne,2011,83,1/5/2021
97,Volkswagen,GTI,2008,60,11/5/2020
98,Ford,Edge,2007,20,1/30/2020
99,MINI,Countryman,2012,23,8/31/2019
100,Chrysler,LHS,2000,43,10/29/2020
101,Jeep,Cherokee,1999,34,1/4/2021
102,Audi,A3,2011,1,7/10/2019
103,Mercedes-Benz,GL-Class,2011,46,8/11/2020
104,Ford,ZX2,2001,39,5/14/2020
105,Buick,Century,1999,66,8/15/2020
106,Volkswagen,New Beetle,2007,60,10/5/2020
107,GMC,1500 Club Coupe,1997,11,7/1/2019
108,Hyundai,Elantra,2004,90,3/3/2019
109,Oldsmobile,LSS,1999,56,1/23/2020
110,Lexus,GS,1994,11,5/5/2020
111,Mercedes-Benz,R-Class,2011,75,10/18/2019
112,Porsche,Boxster,2003,36,12/29/2020
113,Mercedes-Benz,S-Class,1998,16,8/4/2020
114,Saab,900,1994,83,6/10/2019
